sensor_readings,timestamps,sensor_readings/ldr,sensor_readings/soil_moisture,sensor_readings/temperature
,,,,
,0:0:6,1377,544,25.9375
,0:0:11,1405,542,26
,0:0:17,1375,543,25.9375
,0:0:22,1380,542,25.9375
,0:0:28,1386,543,25.9375
,0:0:34,1362,531,25.9375
,0:0:39,1393,530,25.9375
,0:0:45,1399,536,25.9375
,0:0:50,1400,533,25.9375
,0:0:56,1387,532,26
,0:1:1,1411,535,26
,0:1:7,1394,548,25.9375
,0:1:13,1397,534,25.9375
,0:1:20,1393,535,26
,0:1:26,1423,532,25.9375
,0:1:31,1392,540,25.9375
,0:1:36,1378,541,26
,0:1:42,1379,543,26
,0:1:47,1415,543,25.9375
,0:1:53,1389,544,25.9375
,0:1:58,1397,543,26
,0:2:3,1395,544,26
,0:2:9,1369,532,26
,0:2:15,1392,544,26
,0:2:20,1395,541,26
,0:2:27,1394,542,26
,0:2:33,1376,539,25.9375
,0:2:38,1374,534,26
,0:2:44,1391,530,26
,0:2:49,1391,535,26
,0:2:54,1393,539,26
,0:3:0,1397,532,26
,0:3:7,1411,531,26
,0:3:12,1394,534,26
,0:3:17,1395,533,25.9375
,0:3:23,1363,540,26
,,1433,540,25.875
,,1408,538,25.875
,,1402,539,25.9375
,,1404,543,25.9375
,,1402,537,25.9375
,,1408,538,25.9375
,,1397,524,25.875
,,1407,535,26
,,1406,531,25.9375
,,1408,535,25.875
,,1409,532,25.875
,,1410,538,25.9375
,,1401,534,25.875
,,1350,536,25.9375
,,1390,527,25.9375
,,1399,541,25.875
,,1377,540,25.9375
,,1360,541,25.875
,,1379,542,25.875
,,1371,543,25.9375
,,1356,539,25.875
,,1404,542,25.875
,,1359,540,25.875
,,1374,535,25.875
,,1355,534,25.9375
,,1393,535,25.875
,,1381,539,25.875
,,1391,536,25.875
,,1392,534,25.875
,,1405,539,25.875
,,1353,540,25.875
,,1391,538,25.9375
,,1391,541,25.875
,,1391,540,25.875
,,1392,540,25.875
,,1397,539,25.875
,,1395,540,25.875
,,929,539,25.875
,,1390,543,25.875
,,1399,543,25.875
,,1408,539,25.875
,,1388,539,25.9375
,,1365,542,25.875
,,1382,540,25.875
,,1363,539,25.875
,,1360,535,25.875
,,1363,536,25.875
,,1373,534,25.875
,,1356,535,25.9375
,,1364,532,25.875
,,1357,535,25.9375
,,1374,531,25.875
,,1370,530,25.9375
,,1381,532,25.9375
,,1377,531,25.9375
,,1360,534,25.875
,,1378,535,25.875
,,1424,536,25.9375
,,1427,539,25.9375
,,1416,543,25.9375
,,1421,537,25.9375
,,1357,539,25.9375
,,1387,535,25.875
,,1383,534,25.9375
,,1423,535,25.9375
,,1382,535,25.9375
,,1407,536,25.9375
,,1425,535,25.9375
,,1383,543,25.9375
,,1366,535,25.9375
,,1379,540,25.9375
,,1380,535,25.9375
,,1386,539,25.9375
,,1360,526,25.9375
,,1406,543,26
,,1380,541,25.9375
,,1355,537,25.9375
,,1360,540,25.9375
,,1403,542,25.9375
,,1382,541,25.9375
,,1367,536,25.9375
,,1392,535,25.9375
,,1371,536,25.9375
,,1387,529,26
,,1375,532,25.9375
,,1380,523,25.9375
,,1354,531,26
,,1381,532,25.9375
,,1369,536,26
,,1395,532,26
,,1412,534,26
,,1359,533,26
,,1371,537,26
,,1376,526,25.9375
,,1375,535,26
,,1382,535,26
,,1379,543,26
,,1363,538,26
,,1353,543,25.9375
,,1392,539,26
,,1377,543,26
,,1375,542,26
,,1392,540,25.875
,,1392,539,25.875
,,1389,536,25.875
,,1393,536,25.9375
,,1370,536,25.875
,,1392,536,25.9375
,,1397,538,25.875
,,1370,540,25.875
,,1425,542,25.9375
,,1424,544,25.875
,,1406,541,25.875
,,1408,542,25.9375
,,1414,543,25.9375
,,1394,539,25.9375
,,1405,539,25.9375
,,1395,539,25.9375
,,1401,533,25.875
,,1405,535,25.9375
,,1399,535,25.875
,,1402,535,25.875
,,1401,534,25.9375
,,1409,538,25.9375
,,1413,538,25.9375
,,1414,537,25.9375
,,1435,535,25.875
,,1420,534,25.9375
,,1424,520,25.875
,,1419,531,25.9375
,,1424,532,25.9375
,,1408,535,25.9375
,,1409,538,25.9375
,,1407,538,25.875
,,1414,538,25.9375
,,1421,539,25.875
,,1415,541,25.9375
,,1409,542,25.875
,,1409,545,25.9375
,,1405,546,25.875
,,1415,551,25.875
,,1413,548,25.9375
,,1402,545,25.875
,,1412,542,25.8125
,,1415,542,25.9375
,,1413,537,25.875
,,1424,539,25.9375
,,1414,536,25.875
,,1419,535,25.875
,,1411,539,25.875
,,1397,539,25.9375
,,1406,539,25.9375
,,1418,537,25.875
,,1415,536,25.9375
,,1424,543,25.875
,,1419,540,25.875
,,1400,539,25.875
,,1403,540,25.9375
,,1413,547,25.875
,,1413,538,25.9375
,,1409,537,25.875
,,1413,537,25.875
,,1423,538,25.875
,,1422,538,25.875
,,1389,541,25.875
,,1407,543,25.875
,,1439,539,25.875
,,1403,539,25.875
,,1408,538,25.875
,,1411,540,25.875
,,1399,541,25.9375
,,1398,543,25.875
,,1392,541,25.875
,,1392,541,25.875
,,1393,552,25.9375
,,1403,540,25.875
,,1395,537,25.875
,,1392,538,25.875
,,1391,551,25.9375
,,1391,538,25.875
,,1391,536,25.875
,,1387,540,25.875
,,1391,536,25.875
,,1383,537,25.875
,,1367,530,25.9375
,,1360,529,25.9375
,,1391,532,25.875
,,1382,531,25.875
,,1333,531,25.9375
,,1350,537,25.875
,,1424,534,25.875
,,1383,535,25.875
,,1360,535,25.875
,,1405,538,25.9375
,,1404,537,25.9375
,,1393,545,25.9375
,,1374,544,25.9375
,,1387,543,25.875
