"pump_status","sensor_readings__|","sensor_readings__|__ldr","sensor_readings__|__pump_status","sensor_readings__|__soil_moisture","sensor_readings__|__temperature","sensor_readings__|__timestamp"
"OFF","3","2046","False","485","23.5625","3"
"","4","2018","False","386","23.6875","4"
"","9","2043","False","443","23.6875","9"
"","11","2000","False","487","23.625","11"
"","13","2001","False","570","23.75","13"
"","17","2059","False","571","23.6875","17"
"","18","2030","False","488","23.625","18"
"","22","2061","False","598","23.75","22"
"","25","2032","False","486","23.5625","25"
"","27","2006","True","664","23.75","27"
"","31","2047","False","487","23.625","31"
"","32","2122","True","1000","23.75","32"
"","36","2112","False","422","23.75","36"
"","38","2007","False","489","23.6875","38"
"","41","2019","False","418","23.75","41"
"","44","2045","False","485","23.625","44"
"","46","2032","False","453","23.75","46"
"","50","2061","False","469","23.75","50"
"","55","2026","False","480","23.75","55"
"","59","2042","False","482","23.6875","59"
"","61","2013","False","489","23.5625","61"
"","63","2063","False","485","23.75","63"
"","67","2073","False","484","23.75","67"
"","72","2033","False","488","23.75","72"
"","73","2032","False","490","23.625","73"
"","76","2035","False","488","23.6875","76"
"","79","1990","False","490","23.625","79"
"","80","2071","False","486","23.75","80"
"","85","2034","False","484","23.75","85"
"","89","2042","False","488","23.75","89"
"","94","2077","False","491","23.75","94"
"","99","2046","False","490","23.75","99"
"","101","2000","False","484","23.625","101"
"","103","2066","False","490","23.75","103"
"","107","2059","False","488","23.75","107"
"","112","2064","False","488","23.75","112"
"","113","2007","False","488","23.6875","113"
"","116","2038","False","487","23.75","116"
"","119","2044","False","488","23.625","119"
"","120","2079","False","489","23.8125","120"
"","124","2023","False","493","23.75","124"
"","126","2014","False","487","23.625","126"
"","130","2043","False","489","23.75","130"
"","131","2030","False","487","23.625","131"
"","135","2043","False","490","23.75","135"
"","137","1994","False","488","23.625","137"
"","139","2043","False","488","23.75","139"
"","143","2081","False","491","23.75","143"
"","148","2075","False","488","23.75","148"
"","149","1996","False","481","23.625","149"
"","152","2096","False","487","23.75","152"
"","155","2017","False","485","23.625","155"
"","156","2064","False","488","23.75","156"
"","160","2082","False","495","23.75","160"
"","161","1997","False","485","23.5625","161"
"","165","2061","False","490","23.75","165"
"","166","2017","","487","",""
"","169","2096","False","492","23.75","169"
"","174","2084","False","488","23.8125","174"
"","178","2069","False","489","23.75","178"
"","184","2083","False","492","23.75","184"
"","190","2071","False","488","23.75","190"
"","194","2075","False","488","23.8125","194"
"","198","2102","False","488","23.75","198"
"","203","2068","False","489","23.8125","203"
"","207","2064","False","484","23.75","207"
"","211","2070","False","485","23.8125","211"
"","216","2079","False","488","23.75","216"
"","220","2095","False","486","23.8125","220"
"","225","2114","False","486","23.75","225"
"","230","2097","False","486","23.75","230"
"","235","2123","False","484","23.75","235"
"","240","2079","False","485","23.8125","240"
"","244","2123","False","487","23.8125","244"
"","250","2084","False","485","23.8125","250"
"","257","2096","False","488","23.75","257"
"","262","2114","False","486","23.8125","262"
"","266","2091","False","487","23.8125","266"
"","270","2113","False","485","23.75","270"
"","275","2077","False","485","23.75","275"
"","279","2127","False","484","23.75","279"
"","285","2121","False","483","23.75","285"
"","290","2103","False","484","23.8125","290"
"","295","2117","False","484","23.8125","295"
"","299","2125","False","484","23.75","299"
"","303","2112","False","487","23.8125","303"
"","307","2125","False","483","23.8125","307"
"","312","2122","False","487","23.8125","312"
"","317","2138","False","483","23.8125","317"
"","321","2073","False","481","23.75","321"
"","325","2085","False","485","23.8125","325"
"","329","2110","False","487","23.75","329"
"","334","2123","False","482","23.75","334"
"","338","2139","False","482","23.75","338"
"","343","2110","False","485","23.75","343"
"","347","2103","False","486","23.8125","347"
"","351","2143","False","480","23.75","351"
"","355","2132","False","484","23.75","355"
"","360","2112","False","485","23.8125","360"
"","364","2139","False","486","23.75","364"
"","370","2131","False","485","23.75","370"
"","374","2129","False","486","23.8125","374"
"","379","2128","False","487","23.6875","379"
"","383","2138","False","485","23.75","383"
"","387","2105","False","484","23.75","387"
"","392","2149","False","488","23.75","392"
